round,loss,accuracy,asr,evasion_rate,timestamp
1,1.666967,24.7900,83.4374,100.0000,2026-06-07 13:08:34
2,0.392004,90.1600,2.6861,100.0000,2026-06-07 13:08:42
3,0.223011,93.5300,1.8279,100.0000,2026-06-07 13:08:51
4,0.154322,95.2500,0.5461,100.0000,2026-06-07 13:08:59
5,0.113051,96.6100,0.9474,100.0000,2026-06-07 13:09:09
6,0.111250,96.6800,3.0874,100.0000,2026-06-07 13:09:18
7,0.103702,96.7600,1.1815,100.0000,2026-06-07 13:09:28
8,0.079684,97.5500,1.4155,100.0000,2026-06-07 13:09:37
9,0.082196,97.4900,1.3821,100.0000,2026-06-07 13:09:46
10,0.076040,97.6800,2.3852,100.0000,2026-06-07 13:09:55
11,0.084815,97.2700,2.2292,100.0000,2026-06-07 13:10:04
12,0.076325,97.6500,4.8373,100.0000,2026-06-07 13:10:13
13,0.065199,97.9000,8.3593,100.0000,2026-06-07 13:10:22
14,0.059319,98.0000,10.3210,100.0000,2026-06-07 13:10:31
15,0.061788,97.9600,9.4516,100.0000,2026-06-07 13:10:41
16,0.055265,98.1200,7.6460,100.0000,2026-06-07 13:10:50
17,0.052704,98.2500,9.4182,100.0000,2026-06-07 13:11:00
18,0.046763,98.5400,8.9835,100.0000,2026-06-07 13:11:10
19,0.053363,98.2500,13.5310,100.0000,2026-06-07 13:11:19
20,0.050312,98.4200,6.1859,,2026-06-07 13:11:27
21,0.048733,98.3800,16.2617,100.0000,2026-06-07 13:11:36
22,0.043765,98.6300,24.9331,100.0000,2026-06-07 13:11:45
23,0.042558,98.7300,48.4396,100.0000,2026-06-07 13:11:55
24,0.050338,98.4600,34.3513,100.0000,2026-06-07 13:12:05
25,0.040818,98.6100,41.6741,100.0000,2026-06-07 13:12:13
26,0.040133,98.7400,65.0245,100.0000,2026-06-07 13:12:23
27,0.036072,98.8400,73.3839,100.0000,2026-06-07 13:12:34
28,0.038803,98.7600,87.6616,100.0000,2026-06-07 13:12:44
29,0.046757,98.4900,81.7543,100.0000,2026-06-07 13:12:54
30,0.038325,98.8100,84.0504,100.0000,2026-06-07 13:13:04
