round,loss,accuracy,asr,evasion_rate,timestamp
1,3.003332,28.2900,,0.0000,2026-06-07 23:10:44
2,1.767168,56.1000,,0.0000,2026-06-07 23:10:51
3,1.819036,50.0200,,0.0000,2026-06-07 23:10:59
4,1.696679,57.4600,,0.0000,2026-06-07 23:11:07
5,1.096624,69.2700,,0.0000,2026-06-07 23:11:15
6,0.961197,72.6500,,0.0000,2026-06-07 23:11:23
7,1.070002,76.3300,,,2026-06-07 23:11:30
8,0.449980,85.0400,,0.0000,2026-06-07 23:11:40
9,0.289862,90.8000,,0.0000,2026-06-07 23:11:49
10,0.770123,78.9300,,0.0000,2026-06-07 23:11:56
11,0.350912,88.4200,,0.0000,2026-06-07 23:12:05
12,0.441087,86.7700,,,2026-06-07 23:12:13
13,0.325763,90.0000,,0.0000,2026-06-07 23:12:20
14,0.382013,88.6200,,0.0000,2026-06-07 23:12:28
15,0.338424,90.2100,,0.0000,2026-06-07 23:12:36
16,0.421236,86.3400,,0.0000,2026-06-07 23:12:45
17,0.666623,80.9700,,0.0000,2026-06-07 23:12:53
18,0.404829,86.8500,,0.0000,2026-06-07 23:13:01
19,0.342901,88.6600,,0.0000,2026-06-07 23:13:10
20,0.255429,91.7300,,0.0000,2026-06-07 23:13:18
21,0.234476,92.6200,,0.0000,2026-06-07 23:13:27
22,0.220985,93.1500,,0.0000,2026-06-07 23:13:36
23,0.396031,88.9500,,0.0000,2026-06-07 23:13:45
24,0.439828,88.2200,,0.0000,2026-06-07 23:13:52
25,0.256828,91.8600,,0.0000,2026-06-07 23:14:00
26,0.189424,94.0000,,0.0000,2026-06-07 23:14:08
27,0.183828,94.5400,,0.0000,2026-06-07 23:14:16
28,0.367261,89.4800,,0.0000,2026-06-07 23:14:23
29,0.291141,91.7500,,0.0000,2026-06-07 23:14:31
30,0.220115,93.8600,,0.0000,2026-06-07 23:14:39
